property_id,address,neighborhood,property_type,assessed_value,bedrooms,bathrooms,square_feet,year_built,lot_size,assessment_year
T1135,235 Sample Street,The Beaches,Detached,994819,4,1,2941,2015,9750,2024
T1136,236 Sample Street,Leslieville,Semi-Detached,740622,1,2,2839,2016,9800,2024
T1137,237 Sample Street,King West,Townhouse,701638,2,3,2330,2017,9850,2024
T1138,238 Sample Street,Liberty Village,Condo,689202,3,1,3176,2018,9900,2024
T1139,239 Sample Street,Corktown,Condo Townhouse,1118529,4,2,2242,2019,9950,2024
T1140,240 Sample Street,Downtown,Detached,701873,1,3,2991,1950,10000,2024
T1141,241 Sample Street,Midtown,Semi-Detached,733460,2,1,2889,1951,10050,2024
T1142,242 Sample Street,North York,Townhouse,786185,3,2,2380,1952,10100,2024
T1143,243 Sample Street,Etobicoke,Condo,720045,4,3,3226,1953,10150,2024
T1144,244 Sample Street,Scarborough,Condo Townhouse,931017,1,1,2292,1954,10200,2024
T1145,245 Sample Street,The Beaches,Detached,1004819,2,2,3041,1955,10250,2024
T1146,246 Sample Street,Leslieville,Semi-Detached,750622,3,3,2939,1956,10300,2024
T1147,247 Sample Street,King West,Townhouse,711638,4,1,2430,1957,10350,2024
T1148,248 Sample Street,Liberty Village,Condo,699202,1,2,3276,1958,10400,2024
T1149,249 Sample Street,Corktown,Condo Townhouse,1128529,2,3,2342,1959,10450,2024
T1150,250 Sample Street,Downtown,Detached,711873,3,1,3091,1960,10500,2024
T1151,251 Sample Street,Midtown,Semi-Detached,743460,4,2,2989,1961,10550,2024
T1152,252 Sample Street,North York,Townhouse,796185,1,3,2480,1962,10600,2024
T1153,253 Sample Street,Etobicoke,Condo,730045,2,1,3326,1963,10650,2024
T1154,254 Sample Street,Scarborough,Condo Townhouse,941017,3,2,2392,1964,10700,2024
T1155,255 Sample Street,The Beaches,Detached,1014819,4,3,3141,1965,10750,2024
T1156,256 Sample Street,Leslieville,Semi-Detached,760622,1,1,3039,1966,10800,2024
T1157,257 Sample Street,King West,Townhouse,721638,2,2,2530,1967,10850,2024
T1158,258 Sample Street,Liberty Village,Condo,709202,3,3,3376,1968,10900,2024
T1159,259 Sample Street,Corktown,Condo Townhouse,1138529,4,1,2442,1969,10950,2024
T1160,260 Sample Street,Downtown,Detached,721873,1,2,3191,1970,11000,2024
T1161,261 Sample Street,Midtown,Semi-Detached,753460,2,3,3089,1971,11050,2024
T1162,262 Sample Street,North York,Townhouse,806185,3,1,2580,1972,11100,2024
T1163,263 Sample Street,Etobicoke,Condo,740045,4,2,3426,1973,11150,2024
T1164,264 Sample Street,Scarborough,Condo Townhouse,951017,1,3,2492,1974,11200,2024
T1165,265 Sample Street,The Beaches,Detached,1024819,2,1,3241,1975,11250,2024
T1166,266 Sample Street,Leslieville,Semi-Detached,770622,3,2,3139,1976,11300,2024
T1167,267 Sample Street,King West,Townhouse,731638,4,3,2630,1977,11350,2024
T1168,268 Sample Street,Liberty Village,Condo,719202,1,1,3476,1978,11400,2024
T1169,269 Sample Street,Corktown,Condo Townhouse,1148529,2,2,2542,1979,11450,2024
T1170,270 Sample Street,Downtown,Detached,731873,3,3,3291,1980,11500,2024
T1171,271 Sample Street,Midtown,Semi-Detached,763460,4,1,3189,1981,11550,2024
T1172,272 Sample Street,North York,Townhouse,816185,1,2,2680,1982,11600,2024
T1173,273 Sample Street,Etobicoke,Condo,750045,2,3,3526,1983,11650,2024
T1174,274 Sample Street,Scarborough,Condo Townhouse,961017,3,1,2592,1984,11700,2024
T1175,275 Sample Street,The Beaches,Detached,1034819,4,2,3341,1985,11750,2024
T1176,276 Sample Street,Leslieville,Semi-Detached,780622,1,3,3239,1986,11800,2024
T1177,277 Sample Street,King West,Townhouse,741638,2,1,2730,1987,11850,2024
T1178,278 Sample Street,Liberty Village,Condo,729202,3,2,3576,1988,11900,2024
T1179,279 Sample Street,Corktown,Condo Townhouse,1158529,4,3,2642,1989,11950,2024
T1180,280 Sample Street,Downtown,Detached,741873,1,1,3391,1990,12000,2024
T1181,281 Sample Street,Midtown,Semi-Detached,773460,2,2,3289,1991,12050,2024
T1182,282 Sample Street,North York,Townhouse,826185,3,3,2780,1992,12100,2024
T1183,283 Sample Street,Etobicoke,Condo,760045,4,1,3626,1993,12150,2024
T1184,284 Sample Street,Scarborough,Condo Townhouse,971017,1,2,2692,1994,12200,2024
T1185,285 Sample Street,The Beaches,Detached,1044819,2,3,3441,1995,12250,2024
T1186,286 Sample Street,Leslieville,Semi-Detached,790622,3,1,3339,1996,12300,2024
T1187,287 Sample Street,King West,Townhouse,751638,4,2,2830,1997,12350,2024
T1188,288 Sample Street,Liberty Village,Condo,739202,1,3,3676,1998,12400,2024
T1189,289 Sample Street,Corktown,Condo Townhouse,1168529,2,1,2742,1999,12450,2024
T1190,290 Sample Street,Downtown,Detached,751873,3,2,3491,2000,12500,2024
T1191,291 Sample Street,Midtown,Semi-Detached,783460,4,3,3389,2001,12550,2024
T1192,292 Sample Street,North York,Townhouse,836185,1,1,2880,2002,12600,2024
T1193,293 Sample Street,Etobicoke,Condo,770045,2,2,3726,2003,12650,2024
T1194,294 Sample Street,Scarborough,Condo Townhouse,981017,3,3,2792,2004,12700,2024
T1195,295 Sample Street,The Beaches,Detached,1054819,4,1,3541,2005,12750,2024
T1196,296 Sample Street,Leslieville,Semi-Detached,800622,1,2,3439,2006,12800,2024
T1197,297 Sample Street,King West,Townhouse,761638,2,3,2930,2007,12850,2024
T1198,298 Sample Street,Liberty Village,Condo,749202,3,1,3776,2008,12900,2024
T1199,299 Sample Street,Corktown,Condo Townhouse,1178529,4,2,2842,2009,12950,2024
T1200,300 Sample Street,Downtown,Detached,761873,1,3,3591,2010,13000,2024
T1201,301 Sample Street,Midtown,Semi-Detached,793460,2,1,3489,2011,13050,2024
T1202,302 Sample Street,North York,Townhouse,846185,3,2,2980,2012,13100,2024
T1203,303 Sample Street,Etobicoke,Condo,780045,4,3,3826,2013,13150,2024
T1204,304 Sample Street,Scarborough,Condo Townhouse,991017,1,1,2892,2014,13200,2024
T1205,305 Sample Street,The Beaches,Detached,1064819,2,2,3641,2015,13250,2024
T1206,306 Sample Street,Leslieville,Semi-Detached,810622,3,3,3539,2016,13300,2024
T1207,307 Sample Street,King West,Townhouse,771638,4,1,3030,2017,13350,2024
T1208,308 Sample Street,Liberty Village,Condo,759202,1,2,3876,2018,13400,2024
T1209,309 Sample Street,Corktown,Condo Townhouse,1188529,2,3,2942,2019,13450,2024
T1210,310 Sample Street,Downtown,Detached,771873,3,1,3691,1950,13500,2024
T1211,311 Sample Street,Midtown,Semi-Detached,803460,4,2,3589,1951,13550,2024
T1212,312 Sample Street,North York,Townhouse,856185,1,3,3080,1952,13600,2024
T1213,313 Sample Street,Etobicoke,Condo,790045,2,1,3926,1953,13650,2024
T1214,314 Sample Street,Scarborough,Condo Townhouse,1001017,3,2,2992,1954,13700,2024
T1215,315 Sample Street,The Beaches,Detached,1074819,4,3,3741,1955,13750,2024
T1216,316 Sample Street,Leslieville,Semi-Detached,820622,1,1,3639,1956,13800,2024
T1217,317 Sample Street,King West,Townhouse,781638,2,2,3130,1957,13850,2024
T1218,318 Sample Street,Liberty Village,Condo,769202,3,3,3976,1958,13900,2024
T1219,319 Sample Street,Corktown,Condo Townhouse,1198529,4,1,3042,1959,13950,2024
T1220,320 Sample Street,Downtown,Detached,781873,1,2,3791,1960,14000,2024
T1221,321 Sample Street,Midtown,Semi-Detached,813460,2,3,3689,1961,14050,2024
T1222,322 Sample Street,North York,Townhouse,866185,3,1,3180,1962,14100,2024
T1223,323 Sample Street,Etobicoke,Condo,800045,4,2,4026,1963,14150,2024
T1224,324 Sample Street,Scarborough,Condo Townhouse,1011017,1,3,3092,1964,14200,2024
T1225,325 Sample Street,The Beaches,Detached,1084819,2,1,3841,1965,14250,2024
T1226,326 Sample Street,Leslieville,Semi-Detached,830622,3,2,3739,1966,14300,2024
T1227,327 Sample Street,King West,Townhouse,791638,4,3,3230,1967,14350,2024
T1228,328 Sample Street,Liberty Village,Condo,779202,1,1,4076,1968,14400,2024
T1229,329 Sample Street,Corktown,Condo Townhouse,1208529,2,2,3142,1969,14450,2024
T1230,330 Sample Street,Downtown,Detached,791873,3,3,3891,1970,14500,2024
T1231,331 Sample Street,Midtown,Semi-Detached,823460,4,1,3789,1971,14550,2024
T1232,332 Sample Street,North York,Townhouse,876185,1,2,3280,1972,14600,2024
T1233,333 Sample Street,Etobicoke,Condo,810045,2,3,4126,1973,14650,2024
T1234,334 Sample Street,Scarborough,Condo Townhouse,1021017,3,1,3192,1974,14700,2024
T1235,335 Sample Street,The Beaches,Detached,1094819,4,2,3941,1975,14750,2024
T1236,336 Sample Street,Leslieville,Semi-Detached,840622,1,3,3839,1976,14800,2024
T1237,337 Sample Street,King West,Townhouse,801638,2,1,3330,1977,14850,2024
T1238,338 Sample Street,Liberty Village,Condo,789202,3,2,4176,1978,14900,2024
T1239,339 Sample Street,Corktown,Condo Townhouse,1218529,4,3,3242,1979,14950,2024
T1240,340 Sample Street,Downtown,Detached,801873,1,1,3991,1980,15000,2024
T1241,341 Sample Street,Midtown,Semi-Detached,833460,2,2,3889,1981,15050,2024
T1242,342 Sample Street,North York,Townhouse,886185,3,3,3380,1982,15100,2024
T1243,343 Sample Street,Etobicoke,Condo,820045,4,1,4226,1983,15150,2024
T1244,344 Sample Street,Scarborough,Condo Townhouse,1031017,1,2,3292,1984,15200,2024
T1245,345 Sample Street,The Beaches,Detached,1104819,2,3,4041,1985,15250,2024
T1246,346 Sample Street,Leslieville,Semi-Detached,850622,3,1,3939,1986,15300,2024
T1247,347 Sample Street,King West,Townhouse,811638,4,2,3430,1987,15350,2024
T1248,348 Sample Street,Liberty Village,Condo,799202,1,3,4276,1988,15400,2024
T1249,349 Sample Street,Corktown,Condo Townhouse,1228529,2,1,3342,1989,15450,2024
T1250,350 Sample Street,Downtown,Detached,811873,3,2,4091,1990,15500,2024
T1251,351 Sample Street,Midtown,Semi-Detached,843460,4,3,3989,1991,15550,2024
T1252,352 Sample Street,North York,Townhouse,896185,1,1,3480,1992,15600,2024
T1253,353 Sample Street,Etobicoke,Condo,830045,2,2,4326,1993,15650,2024
T1254,354 Sample Street,Scarborough,Condo Townhouse,1041017,3,3,3392,1994,15700,2024
T1255,355 Sample Street,The Beaches,Detached,1114819,4,1,4141,1995,15750,2024
T1256,356 Sample Street,Leslieville,Semi-Detached,860622,1,2,4039,1996,15800,2024
T1257,357 Sample Street,King West,Townhouse,821638,2,3,3530,1997,15850,2024
T1258,358 Sample Street,Liberty Village,Condo,809202,3,1,4376,1998,15900,2024
T1259,359 Sample Street,Corktown,Condo Townhouse,1238529,4,2,3442,1999,15950,2024
T1260,360 Sample Street,Downtown,Detached,821873,1,3,4191,2000,16000,2024
T1261,361 Sample Street,Midtown,Semi-Detached,853460,2,1,4089,2001,16050,2024
T1262,362 Sample Street,North York,Townhouse,906185,3,2,3580,2002,16100,2024
T1263,363 Sample Street,Etobicoke,Condo,840045,4,3,4426,2003,16150,2024
T1264,364 Sample Street,Scarborough,Condo Townhouse,1051017,1,1,3492,2004,16200,2024
T1265,365 Sample Street,The Beaches,Detached,1124819,2,2,4241,2005,16250,2024
T1266,366 Sample Street,Leslieville,Semi-Detached,870622,3,3,4139,2006,16300,2024
T1267,367 Sample Street,King West,Townhouse,831638,4,1,3630,2007,16350,2024
T1268,368 Sample Street,Liberty Village,Condo,819202,1,2,4476,2008,16400,2024
T1269,369 Sample Street,Corktown,Condo Townhouse,1248529,2,3,3542,2009,16450,2024
T1270,370 Sample Street,Downtown,Detached,831873,3,1,4291,2010,16500,2024
T1271,371 Sample Street,Midtown,Semi-Detached,863460,4,2,4189,2011,16550,2024
T1272,372 Sample Street,North York,Townhouse,916185,1,3,3680,2012,16600,2024
T1273,373 Sample Street,Etobicoke,Condo,850045,2,1,4526,2013,16650,2024
T1274,374 Sample Street,Scarborough,Condo Townhouse,1061017,3,2,3592,2014,16700,2024
T1275,375 Sample Street,The Beaches,Detached,1134819,4,3,4341,2015,16750,2024
T1276,376 Sample Street,Leslieville,Semi-Detached,880622,1,1,4239,2016,16800,2024
T1277,377 Sample Street,King West,Townhouse,841638,2,2,3730,2017,16850,2024
T1278,378 Sample Street,Liberty Village,Condo,829202,3,3,4576,2018,16900,2024
T1279,379 Sample Street,Corktown,Condo Townhouse,1258529,4,1,3642,2019,16950,2024
T1280,380 Sample Street,Downtown,Detached,841873,1,2,4391,1950,17000,2024
T1281,381 Sample Street,Midtown,Semi-Detached,873460,2,3,4289,1951,17050,2024
T1282,382 Sample Street,North York,Townhouse,926185,3,1,3780,1952,17100,2024
T1283,383 Sample Street,Etobicoke,Condo,860045,4,2,4626,1953,17150,2024
T1284,384 Sample Street,Scarborough,Condo Townhouse,1071017,1,3,3692,1954,17200,2024
T1285,385 Sample Street,The Beaches,Detached,1144819,2,1,4441,1955,17250,2024
T1286,386 Sample Street,Leslieville,Semi-Detached,890622,3,2,4339,1956,17300,2024
T1287,387 Sample Street,King West,Townhouse,851638,4,3,3830,1957,17350,2024
T1288,388 Sample Street,Liberty Village,Condo,839202,1,1,4676,1958,17400,2024
T1289,389 Sample Street,Corktown,Condo Townhouse,1268529,2,2,3742,1959,17450,2024
T1290,390 Sample Street,Downtown,Detached,851873,3,3,4491,1960,17500,2024
T1291,391 Sample Street,Midtown,Semi-Detached,883460,4,1,4389,1961,17550,2024
T1292,392 Sample Street,North York,Townhouse,936185,1,2,3880,1962,17600,2024
T1293,393 Sample Street,Etobicoke,Condo,870045,2,3,4726,1963,17650,2024
T1294,394 Sample Street,Scarborough,Condo Townhouse,1081017,3,1,3792,1964,17700,2024
T1295,395 Sample Street,The Beaches,Detached,1154819,4,2,4541,1965,17750,2024
T1296,396 Sample Street,Leslieville,Semi-Detached,900622,1,3,4439,1966,17800,2024
T1297,397 Sample Street,King West,Townhouse,861638,2,1,3930,1967,17850,2024
T1298,398 Sample Street,Liberty Village,Condo,849202,3,2,4776,1968,17900,2024
T1299,399 Sample Street,Corktown,Condo Townhouse,1278529,4,3,3842,1969,17950,2024
T1300,400 Sample Street,Downtown,Detached,861873,1,1,4591,1970,18000,2024
T1301,401 Sample Street,Midtown,Semi-Detached,893460,2,2,4489,1971,18050,2024
T1302,402 Sample Street,North York,Townhouse,946185,3,3,3980,1972,18100,2024
T1303,403 Sample Street,Etobicoke,Condo,880045,4,1,4826,1973,18150,2024
T1304,404 Sample Street,Scarborough,Condo Townhouse,1091017,1,2,3892,1974,18200,2024
T1305,405 Sample Street,The Beaches,Detached,1164819,2,3,4641,1975,18250,2024
T1306,406 Sample Street,Leslieville,Semi-Detached,910622,3,1,4539,1976,18300,2024
T1307,407 Sample Street,King West,Townhouse,871638,4,2,4030,1977,18350,2024
T1308,408 Sample Street,Liberty Village,Condo,859202,1,3,4876,1978,18400,2024
T1309,409 Sample Street,Corktown,Condo Townhouse,1288529,2,1,3942,1979,18450,2024
T1310,410 Sample Street,Downtown,Detached,871873,3,2,4691,1980,18500,2024
T1311,411 Sample Street,Midtown,Semi-Detached,903460,4,3,4589,1981,18550,2024
T1312,412 Sample Street,North York,Townhouse,956185,1,1,4080,1982,18600,2024
T1313,413 Sample Street,Etobicoke,Condo,890045,2,2,4926,1983,18650,2024
T1314,414 Sample Street,Scarborough,Condo Townhouse,1101017,3,3,3992,1984,18700,2024
T1315,415 Sample Street,The Beaches,Detached,1174819,4,1,4741,1985,18750,2024
T1316,416 Sample Street,Leslieville,Semi-Detached,920622,1,2,4639,1986,18800,2024
T1317,417 Sample Street,King West,Townhouse,881638,2,3,4130,1987,18850,2024
T1318,418 Sample Street,Liberty Village,Condo,869202,3,1,4976,1988,18900,2024
T1319,419 Sample Street,Corktown,Condo Townhouse,1298529,4,2,4042,1989,18950,2024
T1320,420 Sample Street,Downtown,Detached,881873,1,3,4791,1990,19000,2024
T1321,421 Sample Street,Midtown,Semi-Detached,913460,2,1,4689,1991,19050,2024
T1322,422 Sample Street,North York,Townhouse,966185,3,2,4180,1992,19100,2024
T1323,423 Sample Street,Etobicoke,Condo,900045,4,3,5026,1993,19150,2024
T1324,424 Sample Street,Scarborough,Condo Townhouse,1111017,1,1,4092,1994,19200,2024
